,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
75,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-24T04:00:00+00:00', 'local': '2022-05-24T09:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
76,8039,US Diplomatic Post: Mumbai,pm25,15.0,"{'utc': '2022-05-24T05:00:00+00:00', 'local': '2022-05-24T10:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
77,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-24T06:00:00+00:00', 'local': '2022-05-24T11:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
78,8039,US Diplomatic Post: Mumbai,pm25,16.0,"{'utc': '2022-05-24T07:00:00+00:00', 'local': '2022-05-24T12:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
79,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-24T08:00:00+00:00', 'local': '2022-05-24T13:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
80,8039,US Diplomatic Post: Mumbai,pm25,17.0,"{'utc': '2022-05-24T09:00:00+00:00', 'local': '2022-05-24T14:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
81,8039,US Diplomatic Post: Mumbai,pm25,17.0,"{'utc': '2022-05-24T10:00:00+00:00', 'local': '2022-05-24T15:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
82,8039,US Diplomatic Post: Mumbai,pm25,20.0,"{'utc': '2022-05-24T11:00:00+00:00', 'local': '2022-05-24T16:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
83,8039,US Diplomatic Post: Mumbai,pm25,16.0,"{'utc': '2022-05-24T12:00:00+00:00', 'local': '2022-05-24T17:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
84,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-24T13:00:00+00:00', 'local': '2022-05-24T18:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
